Latitude and Longitude,Class of Land,ndvi1,ndvi2,ndvi3,ndvi4,ndvi5,ndvi6,ndvi7,ndvi8,ndvi9,ndvi10,ndvi11,ndvi12,ndvi13,ndvi14,ndvi15,ndvi16,ndvi17,ndvi18,ndvi19,ndvi20,ndvi21,ndvi22,ndvi23,ndvi24,ndvi25,ndvi26,ndvi27,ndvi28,ndvi29,ndvi30,ndvi31,ndvi32,ndvi33,ndvi34,ndvi35,ndvi36,ndvi37,ndvi38,ndvi39,ndvi40,ndvi41,ndvi42,ndvi43
"(10.323727047081501, 105.2516346045924)",Rice,0.6866318995277549,0.6104020190048411,0.5341721384819272,0.45794225795901344,0.3817123774360996,0.30548249691318574,0.2292526163902719,0.2330927827971947,0.19317537047331823,0.2596084606801689,0.270242496634359,0.4044160167752805,0.5434382571941146,0.6824604976129488,0.7010594304492906,0.7625044912825621,0.7657448560119807,0.7532280418844322,0.7407112277568837,0.8746495140962757,0.7092913975131157,0.7354299887419936,0.7615685799708716,0.7877071711997495,0.7875695430354893,0.7874319148712291,0.7035595950733418,0.6196872752754545,0.5358149554775672,0.528405370715444,0.3721219852465823,0.21583859977772057,0.20177372251455722,0.3133821206916596,0.424990518868762,0.5365989170458644,0.5402420969359714,0.5438852768260783,0.6990717465614149,0.6990717465614149,0.6990717465614149,0.6990717465614149,0.6990717465614149
"(10.322364360592521, 105.27843410554115)",Rice,0.6593064235412164,0.5801999083215545,0.5010933931018927,0.42198687788223094,0.3428803626625691,0.26377384744290727,0.18466733222324547,0.20344383448648748,0.2564011709338112,0.2817705692624736,0.324079364582152,0.5809887308164476,0.6804620601508805,0.7799353894853134,0.7577327355650448,0.7761607957391442,0.7587471969499409,0.7413335981607375,0.7239199993715342,0.8690391787683828,0.7593424736966481,0.7336102680490612,0.7078780624014742,0.7626934017820656,0.7575459124151205,0.7523984230481753,0.6075450654027619,0.4626917077573484,0.317838350111935,0.3601508492890977,0.2802811699049155,0.20041149052073323,0.1434743122534012,0.2827690933609067,0.42206387446841226,0.5540252402715998,0.621164763949196,0.6883042876267922,0.6772948177586807,0.6772948177586807,0.6772948177586807,0.6772948177586807,0.6772948177586807
"(10.321455902933202, 105.25254306225168)",Rice,0.6969304582425968,0.6173628157727779,0.5377951733029589,0.45822753083314,0.37865988836332104,0.2990922458935021,0.2195246034236832,0.22014273504670323,0.2096742121555198,0.26920564453148244,0.2684666863113941,0.42104957804068166,0.555503104529581,0.6899566310184803,0.706643827116012,0.7624295682360736,0.7679975957641141,0.7674680249965239,0.7669384542289337,0.8744889133358273,0.8160959091981981,0.8137461816183233,0.8113964540384486,0.8090467264585739,0.7965654531030412,0.7840841797475084,0.7065325828949103,0.628980986042312,0.5514293891897138,0.5359759728081935,0.3805626138631976,0.22514925491820173,0.20416053230655654,0.31706441893503223,0.4299683055635079,0.5428721921919836,0.5254340102140443,0.5079958282361051,0.6895497341780953,0.7185530799650526,0.74755642575201,0.74755642575201,0.74755642575201
"(10.324181275911162, 105.25118037576274)",Rice,0.6973292774724321,0.6189650559033174,0.5406008343342026,0.4622366127650879,0.3838723911959731,0.30550816962685834,0.22714394805774363,0.23391542831381026,0.18783880053732394,0.2612026790868588,0.2690191123110387,0.39135510841613597,0.533850377799562,0.676345647182988,0.696507799685821,0.7616608843711528,0.7640922549075557,0.7502270462936589,0.7363618376797619,0.8743385160523314,0.6973153047468782,0.726673631437723,0.7560319581285679,0.7853902848194128,0.787849406016353,0.7903085272132933,0.7035170392999983,0.6167255513867034,0.5299340634734084,0.527981120038841,0.37093792591637686,0.21389473179391275,0.20272446882648007,0.19536465130625452,0.18800483378602895,0.5206216907375444,0.5523989483697955,0.5841762060020467,0.6930760187555018,0.6930760187555018,0.6930760187555018,0.6930760187555018,0.6930760187555018
"(10.324635504740822, 105.27389181724476)",Rice,0.1972777371087305,0.1972777371087305,0.1972777371087305,0.1972777371087305,0.1972777371087305,0.1972777371087305,0.1972777371087305,0.1993867301021684,0.25219199011869736,0.295250129542615,0.30394289482804515,0.5872838436227221,0.6767622648065377,0.7662406859903532,0.758155659488587,0.7806424422313972,0.7260391676893956,0.7342657475497729,0.7424923274101503,0.8669571404491526,0.8261054497830527,0.7726152605870109,0.719125071390969,0.7363887612753042,0.7411105011314203,0.7458322409875364,0.6521214151102118,0.5584105892328872,0.4646997633555626,0.370988937478238,0.28773592140332244,0.20448290532840688,0.21675290572663006,0.3510933391493003,0.4854337725719706,0.5470990716712921,0.5617329171749792,0.5763667626786662,0.5339112382447927,0.5339112382447927,0.5339112382447927,0.5339112382447927,0.5339112382447927
"(10.323727047081501, 105.28070524968936)",Rice,0.5280625998766265,0.47130789540514473,0.4145531909336629,0.3577984864621811,0.30104378199069926,0.24428907751921747,0.18753437304773565,0.20739132813796057,0.2620718048518326,0.2883251229483042,0.3598233986577434,0.6245904668156779,0.7118054746187887,0.7990204824218996,0.7725041923121664,0.7851630105276542,0.7722040689560096,0.759245127384365,0.7462861858127203,0.8766103345235974,0.6763923365698995,0.6966717263341322,0.716951116098365,0.7797943240215044,0.764152578963758,0.7485108339060115,0.6062387831726807,0.4639667324393498,0.321694681706019,0.31777308239761365,0.2622602108231833,0.20674733924875294,0.17613502112320822,0.3281728943636677,0.4802107676041271,0.551954028966445,0.6277349801849469,0.7035159314034488,0.762734376743773,0.762734376743773,0.762734376743773,0.762734376743773,0.762734376743773
"(10.325089733570481, 105.23937042619212)",Rice,0.7078393283529187,0.6279061304148921,0.5479729324768653,0.46803973453883857,0.38810653660081185,0.3081733386627851,0.22824014072475843,0.2476136746675654,0.17877220569342303,0.19907685751946408,0.2623899101719106,0.2791169133873517,0.46754047982797264,0.6559640462685936,0.6825573505205672,0.7602131395024628,0.7777891989620314,0.7446709377862757,0.71155267661052,0.881984690299243,0.7589418210962989,0.7626425733985245,0.7663433257007499,0.7700440780029755,0.79519410062284,0.8203441232427044,0.7449828133654683,0.6696215034882322,0.5942601936109961,0.540624096669637,0.38213137422684906,0.2236386517840612,0.1977109938979702,0.3046546268476217,0.41159825979727316,0.4270104935365852,0.5087011369298129,0.5903917803230406,0.6720824237162684,0.7192424462422728,0.7664024687682774,0.7664024687682774,0.7664024687682774
"(10.324181275911162, 105.25390574874059)",Rice,0.6814341207053926,0.6103000289303304,0.5391659371552684,0.46803184538020626,0.3968977536051442,0.3257636618300821,0.25462957005502,0.2642040324609787,0.22149533469330968,0.2627949281643127,0.28837158388205625,0.4485547074960465,0.5742627206765041,0.6999707338569617,0.7110359759873227,0.7634072324072034,0.7748600635847708,0.7687146708500758,0.7625692781153809,0.8694674236044065,0.728498752285752,0.7460684346396547,0.7636381169935572,0.7812077993474599,0.7872378720216939,0.793267944695928,0.7141173420119641,0.6349667393280002,0.5558161366440363,0.5234814069164037,0.37455481086024517,0.2256282148040867,0.19307605174953807,0.311248157278671,0.4294202628078039,0.5475923683369368,0.5478968784905852,0.5482013886442336,0.7118723263125815,0.7384719103026356,0.7650714942926896,0.7650714942926896,0.7650714942926896
"(10.321001674103542, 105.24436694331814)",Rice,0.6965794033029129,0.6048855550624344,0.5131917068219558,0.42149785858147726,0.3298040103409987,0.23811016210052016,0.14641631386004156,0.14459183792434555,0.18739756040005978,0.26212902581349223,0.26612668587012056,0.42198599886011595,0.5773154545153583,0.7326449101706005,0.7331785636871405,0.7793748294392927,0.7837450666519282,0.7412068618731176,0.6986686570943069,0.8880355051973825,0.8207183195722598,0.8017483091958614,0.7827782988194629,0.7638082884430645,0.7728945318470535,0.7819807752510425,0.6942544449483113,0.6065281146455801,0.518801784342849,0.5217020789411504,0.3612534412574725,0.2008048035737946,0.19619604900875054,0.35265095174909594,0.5091058544894413,0.5131349675813925,0.5484077318302302,0.5836804960790679,0.6189532603279055,0.6974785093490204,0.7760037583701354,0.7760037583701354,0.7760037583701354
"(10.321001674103542, 105.2416415703403)",Rice,0.720703796646424,0.6313765146831913,0.5420492327199585,0.4527219507567258,0.363394668793493,0.2740673868302603,0.1847401048670275,0.19732455446598834,0.195229360351798,0.23743263561033315,0.2683111603662706,0.4047283442986264,0.5623093254388702,0.719890306579114,0.7214146993944314,0.7763350719559466,0.7861859289320932,0.7411739605364298,0.6961619921407664,0.888923900949555,0.821557152149485,0.7934333808111699,0.7653096094728549,0.7371858381345398,0.7723087161924014,0.8074315942502631,0.7244270981601304,0.6414226020699977,0.558418105979865,0.5342768031184045,0.3696297224277393,0.204982641737074,0.1988312430301278,0.38866521084600403,0.5784991786618803,0.5052262769438522,0.5353300960602302,0.565433915176608,0.595537734292986,0.6835133080751452,0.7714888818573044,0.7714888818573044,0.7714888818573044
"(10.324635504740822, 105.25572266405916",Rice,0.6923838980116991,0.6199608547706025,0.5475378115295059,0.47511476828840926,0.40269172504731265,0.33026868180621605,0.25784563856511944,0.27288368842799343,0.234702558296976,0.263685206319559,0.3039011514508563,0.4929011794003943,0.6143329889025859,0.7357647984047776,0.7337017167424037,0.777412086363943,0.7918060211189885,0.7756199501081801,0.7594338790973717,0.8693760872986402,0.7932179770792651,0.7912021614749957,0.7891863458707262,0.7871705302664568,0.7910006854746312,0.7948308406828055,0.7223591535845799,0.6498874664863542,0.5774157793881286,0.5032571061450727,0.36458188360890326,0.2259066610727338,0.1998135187081628,0.3171006305647554,0.43438774242134803,0.5516748542779406,0.5677897415963268,0.583904628914713,0.7293589189231265,0.7513854938081691,0.7734120686932117,0.7734120686932117,0.7734120686932117
"(10.321001674103542, 105.2334654514068)",Rice,0.7139793114315437,0.6346840333438416,0.5553887552561394,0.4760934771684373,0.39679819908073516,0.317502920993033,0.23820764290533092,0.2450860343865817,0.205270071944949,0.27115798333972174,0.26206805804713035,0.39466673971192157,0.541855713188817,0.6890446866657124,0.6943776277261098,0.7589360760921513,0.7643107894517054,0.7504575292540967,0.7366042690564879,0.8801152853922285,0.7435446574759963,0.767489766352028,0.7914348752280598,0.8153799841040915,0.8110221260111019,0.8066642679181124,0.7202449137426272,0.6338255595671419,0.5474062053916567,0.5113407185530148,0.3508035018939769,0.1902662852349391,0.19116100526732482,0.35740967395780626,0.5236583426482877,0.5592405614578186,0.6463740873257858,0.7335076131937531,0.8206411390617203,0.7985662290382154,0.7764913190147104,0.7764913190147104,0.7764913190147104
"(10.32327281825184, 105.26753261362978)",Rice,0.7852410488906073,0.6845328999345905,0.5838247509785738,0.483116602022557,0.38240845306654025,0.2817003041105235,0.18099215515450673,0.21282900818498804,0.24065500536768422,0.2895938037989223,0.28372801173178175,0.5499168824116081,0.6537978400261866,0.7576787976407652,0.7627137840741081,0.7813528657624209,0.7913886693815064,0.7872827532376805,0.7831768370938544,0.8771713148653213,0.8420911429281636,0.7848049974716742,0.727518852015185,0.7950382911614304,0.7788349115216158,0.762631531881801,0.6717512869368003,0.5808710419917995,0.4899907970467988,0.39911055210179813,0.29729766500253485,0.1954847779032715,0.24412354225181207,0.4030103895287195,0.561897236805627,0.6065188965334957,0.5815586436867544,0.556598390840013,0.5478571133716456,0.5478571133716456,0.5478571133716456,0.5478571133716456,0.5478571133716456
"(10.324181275911162, 105.28115947851899)",Rice,0.4641014726825736,0.4172407280993546,0.37037998351613555,0.3235192389329165,0.27665849434969747,0.22979774976647843,0.18293700518325937,0.20329373715683635,0.2616637544385654,0.284611944734291,0.3627344741387122,0.6314494894291012,0.7182666724983344,0.8050838555675677,0.7792695291978282,0.7901680195289028,0.7765243480380104,0.7628806765471179,0.7492370050562255,0.8833162060122992,0.663160850240196,0.6920897128235368,0.7210185754068776,0.7839865036091405,0.7688502159519572,0.753713928294774,0.6170879758061913,0.48046202331760873,0.34383607082902606,0.3179516891362891,0.26266854993998573,0.20738541074368239,0.19204781823511197,0.35365866192643364,0.5152695056177553,0.556979992155665,0.6329044456178452,0.7088288990800256,0.7820896971736873,0.7820896971736873,0.7820896971736873,0.7820896971736873,0.7820896971736873
"(10.321001674103542, 105.2598107235259)",Rice,0.6946567021741551,0.6167824378928691,0.5389081736115833,0.4610339093302973,0.3831596450490114,0.3052853807677255,0.22741111648643955,0.2527752486415726,0.23139805911399725,0.24115062559128578,0.29862633317858644,0.44307713087226563,0.5874754108062181,0.7318736907401706,0.7346571672057157,0.7768454047514718,0.7942405885175505,0.7900719601313678,0.7859033317451851,0.8723007254156248,0.8452348304317553,0.8292175102850647,0.8132001901383743,0.7971828699916838,0.7978797975956011,0.7985767251995185,0.7388485341208164,0.6791203430421143,0.6193921519634122,0.4958541354318202,0.35501942558373967,0.21418471573565917,0.19217155870633923,0.29275800049899425,0.3933444422916492,0.49393088408430424,0.5236723905467079,0.5534138970091115,0.7625543333213325,0.7513972065377598,0.740240079754187,0.740240079754187,0.740240079754187
"(10.32327281825184, 105.24073311268103)",Rice,0.7045243467744885,0.6226996231959486,0.5408748996174086,0.4590501760388688,0.37722545246032885,0.2954007288817889,0.21357600530324908,0.23161986507666826,0.1895341831506546,0.20272268352435371,0.27265851558981197,0.3311140894085044,0.5050780574271936,0.6790420254458828,0.7015044818900648,0.7658783614737211,0.7804891559618148,0.7418590810023193,0.7032290060428239,0.8834919708023028,0.8109606589546905,0.7881296838765243,0.765298708798358,0.7424677337201918,0.7799087397517922,0.8173497457833926,0.7376184015348096,0.6578870572862267,0.5781557130376437,0.5450430601043964,0.38182719149451305,0.21861132288462973,0.19796214844113547,0.3847720904447768,0.5715820324484181,0.4648762623090625,0.5340181046833167,0.6031599470575708,0.672301789431825,0.7188916922117556,0.7654815949916863,0.7654815949916863,0.7654815949916863
"(10.324635504740822, 105.27843410554115)",Rice,0.6593064235412164,0.5798744599318355,0.5004424963224545,0.4210105327130736,0.34157856910369266,0.26214660549431174,0.18271464188493078,0.1955915455567042,0.2570707103603462,0.2881689960315178,0.3489562337549844,0.6163568672016284,0.708913980608735,0.8014710940158416,0.7734772937435688,0.7878627740165786,0.7700571362744975,0.7522514985324165,0.7344458607903354,0.8813767060343953,0.7886129824157665,0.7555786154948331,0.7225442485738997,0.7661531635480204,0.7607078523266002,0.75526254110518,0.6068026848822046,0.4583428286592292,0.3098829724362538,0.3219039020149399,0.26163103673294,0.20135817145094018,0.16707377455166197,0.30170724586934683,0.43634071718703177,0.534918303445171,0.5932144430878123,0.6515105827304536,0.6857647528300946,0.6857647528300946,0.6857647528300946,0.6857647528300946,0.6857647528300946
